"doc_id","text"
"text2","Vilavila"
"text2","Peru"
"text3","Alaska"
"text4","Tonga"
"text5","Pondaguitan"
"text5","Philippines"
"text6","Maumere"
"text6","Indonesia"
"text7","Scarborough"
"text7","Trinidad"
"text8","Reuleuet"
"text8","Indonesia"
"text9","Shihezi"
"text9","China"
"text10","California"
"text11","Kirakira"
"text11","Solomon Islands"
"text12","Kirakira"
"text12","Solomon Islands"
"text13","Kirakira"
"text13","Solomon Islands"
"text14","Kirakira"
"text14","Solomon Islands"
"text15","Kirakira"
"text15","Solomon Islands"
"text16","Kirakira"
"text16","Solomon Islands"
"text17","Kirakira"
"text17","Solomon Islands"
"text18","Kirakira"
"text18","Solomon Islands"
"text19","Solomon Islands"
"text20","Solomon Islands"
"text21","Kirakira"
"text21","Solomon Islands"
"text24","Kirakira"
"text24","Solomon Islands"
"text25","Mariana Islands"
"text26","Mariana Islands"
"text27","Guatemala"
"text28","Kokopo"
"text28","Papua New Guinea"
"text29","Kokopo"
"text29","Papua New Guinea"
"text31","Kirakira"
"text31","Solomon Islands"
"text34","Colonia"
"text35","Kirakira"
"text35","Solomon Islands"
"text36","Peru"
"text37","Kirakira"
"text37","Solomon Islands"
"text38","Xinjiang"
"text38","China"
"text39","Kirakira"
"text39","Solomon Islands"
"text40","Solomon Islands"
"text41","NE"
"text41","Lospalos"
"text42","Mariana Islands"
"text43","Kokopo"
"text43","Papua New Guinea"
"text44","Kokopo"
"text44","Papua New Guinea"
"text45","Quellón"
"text45","Chile"
"text46","Chile"
"text47","Romania"
"text48","Hawthorne"
"text48","Nevada"
"text49","Hawthorne"
"text49","Nevada"
"text50","Hawthorne"
"text50","Nevada"
"text51","NE"
"text51","Daigo"
"text51","Japan"
"text52","Dompu"
"text52","Indonesia"
"text53","Namie"
"text53","Japan"
"text54","Pondaguitan"
"text54","Philippines"
"text55","Kawerau"
"text55","New Zealand"
"text56","Srandakan"
"text56","Indonesia"
"text58","Iraq"
"text60","Canada"
"text62","Kencong"
"text62","Indonesia"
"text65","Philippines"
"text67","Chile"
"text68","Kýthira"
"text68","Greece"
"text69","Vilyuchinsk"
"text69","Russia"
"text71","New Guinea"
"text71","Papua New Guinea"
"text72","Argentina"
"text74","Chipispaya"
"text74","Peru"
"text75","Fiji"
"text78","South Sandwich"
"text79","Fiji"
"text80","Fiji"
"text81","Indonesia"
"text82","Japan"
"text83","Colombia"
"text84","Kokopo"
"text84","Papua New Guinea"
"text85","Colombia"
"text89","Vilyuchinsk"
"text89","Russia"
"text93","Russia"
"text94","New Britain"
"text94","Papua New Guinea"
"text95","Indonesia"
"text98","Bantacan"
"text98","Philippines"
"text99","Indonesia"
"text100","Manat"
"text100","Philippines"
"text102","Port-Olry"
"text103","Kushiro"
"text103","Japan"
"text104","Fiji"
"text106","Coquimbo"
"text106","Chile"
"text107","Nicobar Islands"
"text107","India"
"text110","Atico"
"text110","Peru"
"text111","Hihifo"
"text111","Tonga"
"text113","New Zealand"
"text117","South Sandwich"
"text118","Göksun"
"text118","Turkey"
"text119","Quilca"
"text119","Peru"
"text121","Bengkulu"
"text121","Indonesia"
"text122","South Sandwich"
"text128","Port-Olry"
"text129","Shimoda"
"text129","Japan"
"text130","Russia"
"text131","South Georgia Island"
"text132","Mexico"
"text133","Indonesia"
"text134","Kuril Islands"
"text136","Bonin Islands"
"text136","Japan"
"text137","South Sandwich"
"text139","Iztapa"
"text139","Guatemala"
"text140","Kangding"
"text140","China"
"text141","Indonesia"
"text142","Carlsberg Ridge"
"text143","Katsuura"
"text143","Japan"
"text144","Argentina"
"text146","Jiquilillo"
"text146","Nicaragua"
"text148","Ye?ilyurt"
"text148","Turkey"
"text149","Fiji"
"text151","Indonesia"
"text152","Aksu"
"text152","China"
"text153","Adak"
"text153","Alaska"
"text154","Adak"
"text154","Alaska"
"text155","New Zealand"
"text159","Kushiro"
"text159","Japan"
"text160","Emirgazi"
"text160","Turkey"
"text161","Ishikawa"
"text161","Japan"
"text163","San Jose Village"
"text164","Tobelo"
"text164","Indonesia"
"text166","San Antonio de los Cobres"
"text166","Argentina"
"text167","Neiafu"
"text167","Tonga"
"text168","San Antonio"
"text168","Chile"
"text169","Murghob"
"text171","Murghob"
"text172","Indonesia"
"text173","Ger?sh"
"text173","Iran"
"text174","Sinabang"
"text174","Indonesia"
"text175","Bonin Islands"
"text175","Japan"
"text176","Iceland"
"text177","Iran"
"text178","Old Harbor"
"text178","Alaska"
"text179","Old Harbor"
"text179","Alaska"
"text180","Solomon Islands"
"text181","Turkey"
"text182","Turkey"
"text183","Tonga"
"text184","NE"
"text184","Casuguran"
"text184","Philippines"
"text185","Sinabang"
"text185","Indonesia"
"text187","Obihiro"
"text187","Japan"
"text189","South Sandwich"
"text190","Chile"
"text191","Levuka"
"text191","Fiji"
"text192","South Sandwich"
"text193","Sola"
"text195","Tonga"
"text196","Tual"
"text196","Indonesia"
"text197","Kintinku"
"text197","Tanzania"
"text199","Nago"
"text199","Japan"
"text200","Turkey"
"text202","Guatemala"
"text203","San Nicolas"
"text203","Philippines"
"text204","Bombardopolis"
"text204","Haiti"
"text206","Chile"
"text207","Miaga"
"text207","Philippines"
"text208","Neiafu"
"text208","Tonga"
"text209","New Zealand"
"text210","Cepitá"
"text210","Colombia"
"text211","Adak"
"text211","Alaska"
"text212","Otaki"
"text212","New Zealand"
"text215","South Sandwich"
"text216","Tonga"
"text217","Romania"
"text219","Qinghai"
"text219","China"
"text220","Romania"
"text221","New Zealand"
"text222","Kuril Islands"
"text223","New Zealand"
"text224","Manokwari"
"text224","Indonesia"
"text225","Turkey"
"text226","Pilar"
"text226","Philippines"
"text229","Indonesia"
"text230","New Ireland"
"text230","Papua New Guinea"
"text231","Abepura"
"text231","Indonesia"
"text232","Tonga"
"text233","New Zealand"
"text234","South Sandwich"
"text235","Carlsberg Ridge"
"text236","Kirakira"
"text236","Solomon Islands"
"text237","South Sandwich"
"text238","Abepura"
"text238","Indonesia"
"text240","Bougainville"
"text240","Papua New Guinea"
"text241","Guanaja"
"text241","Honduras"
"text242","Nurhak"
"text242","Turkey"
"text243","Abepura"
"text243","Indonesia"
"text244","Turkey"
"text245","Turkey"
"text246","Murindó"
"text246","Colombia"
"text248","Nurhak"
"text248","Turkey"
"text249","Göksun"
"text249","Turkey"
"text250","NE"
"text250","Colonia"
"text251","Göksun"
"text251","Turkey"
"text252","Colonia"
"text253","Turkey"
"text255","Turkey"
"text256","Russia"
"text257","Turkey"
"text258","Yigo Village"
"text258","Guam"
"text259","Pelabuhanratu"
"text259","Indonesia"
"text261","Turkey"
"text262","Turkey"
"text263","Göksun"
"text263","Turkey"
"text264","Turkey"
"text265","Turkey"
"text266","Göksun"
"text266","Turkey"
"text267","Turkey"
"text268","NE"
"text268","Gölba"
"text268","Turkey"
"text269","Nurhak"
"text269","Turkey"
"text270","Do?an?ehir"
"text270","Turkey"
"text271","Nurhak"
"text271","Turkey"
"text272","Göksun"
"text272","Turkey"
"text273","Af?in"
"text273","Turkey"
"text274","Turkey"
"text275","Do?an?ehir"
"text275","Turkey"
"text276","Turkey"
"text277","Çelikhan"
"text277","Turkey"
"text279","Sincik"
"text279","Turkey"
"text280","Nurda"
"text280","Turkey"
"text281","Tut"
"text281","Turkey"
"text282","Turkey"
"text283","Hasanbeyli"
"text283","Turkey"
"text284","Turkey"
"text284","Syria"
"text285","Nurda"
"text285","Turkey"
"text286","Nurda"
"text286","Turkey"
"text288","Chile"
"text289","Japan"
"text291","Tonga"
"text294","Qinghai"
"text294","China"
"text295","Qinghai"
"text295","China"
"text297","Tobelo"
"text297","Indonesia"
"text298","Alaska"
"text299","Salinas"
"text299","Ecuador"
"text300","Matanzas"
"text300","Dominican Republic"
"text301","Babag"
"text301","Philippines"
"text302","Malango"
"text303","Tonga"
"text304","Malta"
"text305","Port Blair"
"text305","India"
"text308","Aral"
"text308","China"
"text309","Tobelo"
"text309","Indonesia"
"text311","NE"
"text311","Tobelo"
"text311","Indonesia"
"text312","Khowy"
"text312","Iran"
"text313","Khowy"
"text313","Iran"
"text314","Southwest Indian Ridge"
"text315","Yigo Village"
"text315","Guam"
"text316","Philippines"
"text320","Atka"
"text320","Alaska"
"text321","New Zealand"
"text322","Tobelo"
"text322","Indonesia"
